elementName,score,nbOfSongs
"Fredrik Häthén & Friends","1121.5",2
"Tanuki Suit Riot","1121.5",2
"Kenji Yamamoto, Kouichi Kyuma","1121.4",10
"OverShield","1121",2
"KOKIA","1120.5",2
"Naoko Ishii, Waichiro Ozaki, Hiroshi Tanabe","1120.2",5
"Scott Lloyd Shelly","1120.125",8
"Falk Au Yeong","1120",3
"GaMetal","1119.3333333333333",3
"Claire Yaxley, Dj Mystix","1119",2
"Ashleigh Coryell, bLiNd","1119",2
"Michael Land, Jesse Harlin","1118.75",4
"ansgaros","1118.2",5
"Do a Barrel Roll!","1117",5
"Satoru Kosaki","1117",2
"Atsushi Fujio, Yasuhiro Ichihashi","1117",4
"Masaru Teramae","1117",2
"Hideki Naganuma","1116.5454545454545",11
"Toshihiko Takamizawa","1116.5",2
"Big Giant Circles, Justin R. Coleman","1116.5",2
"Junichi Masuda, Go Ichinose","1116.3333333333333",3
"Layton Grand Caravan Orchestra","1114.4",5
"The Quiggles","1114.3333333333333",3
"Ryuji Sasai, Yasuhiro Kawakami","1113.875",8
"Takuro Iga","1113.6666666666667",3
"CrimzonWolf777","1113",4
"Nice! Edmond is Super Sumo-wrestler","1112.5",4
"Takuto Kitsuta","1112.5",2
"Patricio Thielemann","1112.5",2
"Masakazu Sugimori, Yasumasa Kitagawa","1112",2
"Alex Rudis, Robert Vieira","1112",2
"Masanori Adachi, Sotaro Tojima","1111.7777777777778",9
"Rimco","1111.5",2
"Joshua Morse, Danimal Cannon","1111",3
"Emunator, Chimpazilla","1111",3
"Miyoko Kobayashi, Masanori Hikichi","1110",9
"Bart Klepka","1110",3
"Hideki Okugawa","1109.75",4
"Black Ace","1109.5",6
"Bladiator, The Orichalcon","1109.5",2
"Crush 40","1108.2142857142858",14
"Stijn van Wakeren","1108",5
"The Engines","1108",2
"Robert A. Allen","1108",4
"Risa Yuki, Sega","1108",2
"Trace Dragon XVI K","1107.5",2
"Ben Briggs, halc","1107.5",2
"Sadorf, Sir_NutS","1107",2
"MC, SGX","1107",2
"elzfernomusic","1107",2
"Paul Romero, Rob King, Steve Baca","1106.5",6
"Yasuhiro Kawasaki","1106",5
"Hayata Takeda","1106",5
"Atsushi Fujio, Jun Funahashi, Hidenori Maezawa, Tsutomu Ogura, Kiyohiro Sada","1105.75",4
"Avien","1105",5
"→Pia-no-jaC←","1105",3
"Hiroshi Kawaguchi, Fumio Itoh, Keisuke Tsukahara","1104",5
"Tohru Hasahe, Minki Motoyama","1104",2
"SmileR","1103.5",2
"Takashi Tateishi, Manami Matsumae","1103.5",2
"The Koopa Troop","1103.5",2
"Xor","1103.5",2
"Vladimir Tugay","1103.5",2
"Robin Beanland, Graeme Norgate","1103.25",4
"Toby Fox","1103.046511627907",43
"Foxx","1103",2
"Kouhei Tanaka","1102.857142857143",7
"Musicalman","1102.5",2
"Manabu Namiki,N.T","1101.6",5
"BenCousins","1101.3333333333333",3
"Manami Matsumae, Yoshihiro Sakaguchi","1099",3
"Stemage, Viking Guitar","1099",2
"Tatsuro Suzuki","1099",2
"bLiNd, Chimpazilla","1099",2
"Hiromitsu Maeba","1099",4
"Panda P.I.","1099",2
"DavidOrr","1099",2
"Travis Lien","1099",2
"SEXY-SYNTHESIZER","1098.6",15
"Takushi Hiyamuta, JIM","1098.6",5
"Kylok","1098.5",2
"Mitsuhiko Takano","1097.8",10
"Levus","1097.75",4
"Keisuke Ito, Yasuhiro Kawagoe, Noriko Murakami","1097",5
"Big Giant Circles, zircon","1097",2
"Naoto Tanaka","1096.4285714285713",14
"Gabe Terracciano, Shnabubula","1095.5",2
"Yoann Laulan","1095.5",4
"Yoko Ueno","1095.2",5
"Kiyohiro Sada, Kazuki Muraoka, Kouji Murata","1095",2
"Kenmochi Hidefumi","1094.75",4
"J1 Sound Team, Dj CUTMAN","1094.5",2
"AISHA","1094.5",2
"Roger Wanamo","1094.5",2
"The Black Mages","1094.4074074074074",27
"Yoshito Hirano, Yuka Tsujiyoko","1094.25",12
"Kyaku","1093",3
"Makke","1092.1666666666667",6
"Seiichi Fukami, Yuji Takenouchi, Junya Nakano","1091.75",4
"Garoad","1091.5",12
"7DD9","1090.5",2
"AmIEviL","1090.388888888889",18
"Yasunori Mitsuda, Millennial Fair","1090.2",5
"PriZm","1090",3
"RAC","1090",9
"Justin St. Charles","1090",8
"Kentaro Ishizaka","1090",4
"Dota Ando","1090",6
"Yasuhiro Ichihashi","1090",3
"Graz","1090",2
"Leandro Abreu, André Pastore, Helton Lima, Leo Quintão, Marco Lima","1090",2
"Yuko Komiyama, Shinya Okada, Seiko Kobuchi, Akemi Kimura, Makoto Asai, Teruo Konishi, Shuichi Mizohata, Noriyuki Iwadare, Takuya Miyawaki, Nittoku Inoue","1089.875",8
"Kazumi Totaka","1089.625",24
"Kenichi Matsubara","1089.5",6
"EAR","1089",4
"Justin Tense","1089",3
"Yuzo Koshiro, Masato Nakamura","1088.7142857142858",7
"Toru Minegishi, Asuka Ohta, Koji Kondo","1088.4285714285713",14
"Arkimedes","1088",2
"Mutsuhiko Izumi, Mariko Egawa, Ayako Nishigaki, Junya Nakano, Michiru Yamane","1087.75",4
"Terence Lee (Lifeformed)","1087.5",8
"MJ & DJ OMKT","1087.3333333333333",6
"Destiny","1087",3
"pesama","1087",3
"Makoto Tomozawa","1086.5833333333333",12
"Mahito Yokota","1085.9",30
"Astral Tales","1085.8",5
"Stephen Kennedy","1085.625",8
"Tommy Tallarico","1085.5",2
"Yuki Kajiura, Deb Lyons","1085.5",2
"USK","1085.5",2
"Atsuyoshi Isemura, Hironobu Inagaki","1085.5",4
"GuitarSVD, Chromatic Apparatus","1085.5",2
"Kazuhisa Kamifuji","1085.5",6
"Ryo Yoshinaga","1085.5",2
"Christopher Larkin","1084.5333333333333",15
"Takushi Hiyamuta","1084.4",5
"Naoshi Mizuta, Akari Kaida, Toshihiko Horiyama","1084.3333333333333",3
"Jun Ishikawa, Hirokazu Ando","1084.3333333333333",21
"Glenn Stafford","1083.7",10
"Ryoji Yoshitomi, Kozue Ishikawa","1083.5",4
"Dean Evans","1083.5",4
"Scott Buckley","1083.5",2
"OceansAndrew, Scaredsim","1083",3
"flashygoodness","1082.795918367347",49
"Cliqtrack","1081.5",2
"Martin O'Donnell, Michael Salvatori","1081.1764705882354",34
"AJ DiSpirito","1081",4
"Hiromi","1081",3
"Hideaki Kuroda","1081",2
"Tomohito Nishiura, Norihito Sumitomo, Layton Grand Caravan Orchestra","1081",4
"Demonstray","1081",3
"NOVOISKI","1081",3
"Akihiko Narita","1081",4
"Hirokazu Tanaka, Keiichi Suzuki","1081",3
"DJ Dain","1081",2
"Hurrigame Boy","1081",2
"Blue.Nocturne","1081",2
"Ian Taylor","1081",3
"Itdanslegs","1081",3
"Chronblom","1080.5",2
"Sentient Pulse","1080.3333333333333",3
"Synesthesics","1080",2
"Video Games Live","1079.6666666666667",6
"Lena Raine","1078.904761904762",21
"Joel Kent","1078.888888888889",9
"Nobuyuki Aoshima, Mamoru Ishimoda, Yoko Sonoda, Mariko Sato","1078.75",4
"Daniele Zandara","1078.75",4
"Joe Hisaishi","1078.4545454545455",11
"Kazumi Totaka, Minako Hamano, Kozue Ishikawa","1078.3529411764705",17
"ella guro","1077.8333333333333",6
"Akito Nakatsuka","1077.6153846153845",13
"Hirokazu Tanaka","1077.5111111111112",45
"Yuko Komiyama","1077.4",10
"MTMB Studios","1077.3333333333333",3
"chipzel","1077.25",8
"Michiru Yamane, Tomoko Nishikawa","1077",5
"Masaru Tajima","1076.625",8
"Miki Higashino, Yumiko Takahashi","1076.5",2
"Vyper","1076.5",2
"Manaka Kataoka, Koji Kondo","1076.5",2
"Masayoshi Soken, Yukiko Takada","1076.5",2
"Younes Elbayad","1076.5",2
"meganeko","1076.5",2
"Toru Minegishi","1076",2
"Takehiko Yamada","1076",2
"Matt Drouin","1075.5",2
"David Whittaker","1075.4",5
"Soyo Oka, Taro Bando","1075.375",8
"Ryu7x","1075",5
"Takuya Maekawa, Yuichi Ozaki, Masami Yone","1075",3
"Tokyo Philharmonic Orchestra, Daisuke Shinoda","1075",3
"Uncle & the Bacon","1075",3
"Atsushi Shirakawa, Masaru Nakajima, Satoshi Arai, Hayato Sonoda, Kaname Ohara)","1075",3
"ParagonX9","1074.6666666666667",3
"Darren Korb","1074.6206896551723",29
"Radiowar","1074.0833333333333",12
"Jared Hudson","1074",9
"Mario 3D World Big Band","1073.7777777777778",9
"DigiE","1072.6666666666667",6
"Paper Coelacanth","1072.142857142857",7
"Minae Fujii","1072.0588235294117",17
"Jack Wall, Sam Hulick, Richard Jacques","1072",4
"OSTER project","1072",2
"Andrè Marì Coppola","1072",6
"Minae Fujii, Yasuaki Fujita","1072",10
"Mark Mothersbaugh","1072",11
"Eight Bit Disaster","1072",4
"chainsaw_09","1072",2
"Tomoaki Hirono","1072",2
"Ronan \"Mr. Sauceman\" de Castel ","1072",5
"Satoshi Igarashi, Naofumi Harada, Hitomi Kurokawa,Masahiro Aoki, Satoshi Setsune","1072",4
"WillRock, PROTO·DOME","1072",2
"Ryan Barry","1072",2
"Chimpazilla, Emunator","1072",2
"Bernardo Limon","1072",2
"Ferdk","1072",2
"Takeshi Kuramochi","1072",2
"Satoe Terashima","1071.875",8
"Tadayoshi Makino, Sofia Film Orchestra","1071.6666666666667",3
"Jan Van Valburg","1071.6666666666667",6
"Danger","1071",10
"Yasuaki Fujita","1070.4",25
"Kinuyo Yamashita, Iku Mizutani, Motoaki Furukawa, Kazuhiko Uehara","1070.2",5
"Hiroyuki Iwatsuki, Haruo Ohashi","1069.857142857143",14
"Rob Wallace, Sam Powell","1069.75",4
"NAOKI","1069.75",8
"Emunator, Ergosonic","1069.5",2
"Takashi Tateishi","1069.5",18
"Eveline Fischer","1069.4285714285713",14
"University of Maryland Gamer Symphony Orchestra","1069.3947368421052",38
"Jeremy Robson","1069.3333333333333",6
"Disco Dan","1069.2666666666667",15
"Toh-ru Iwao","1069",6
"Tiago Rodrigues","1069",3
"MasterSwordRemix","1069",3
"MyNewSoundtrack","1069",3
"Mario Freaks Orchestra","1068.8333333333333",6
"Yoko Kanno","1068.8125",16
"Random","1068.7",10
"Hidenori Maezawa, Kiyohiro Sada","1068.625",8
"Michiru Yamane, Yasuhiro Ichihashi","1068.625",8
"Kenichiro Fukui, Seiichi Fukami","1068.2",5
"Nobuo Uematsu, Masayoshi Soken","1068.2",5
"K-Waves Lab","1068.142857142857",7
"Tansunn","1067.8",5
"Jago","1067.5",4
"Steven Silo","1067.5",2
"Linked Horizon","1067.5",4
"WARK!","1067.5",2
"Fratto, Wiesty, The OC Jazz Collective","1067.5",2
"Retlaf","1067.5",2
"Arisaki Works","1067.5",2
"Naoto Kubo","1066.909090909091",11
"DDRKirby(ISQ)","1066.3333333333333",87
"Juan Medrano","1066.075",40
"GeckoYamori","1066",3
"Dj CUTMAN, Spamtron","1066",12
"Jun Funahashi, Masae Nakashima, Satoko Minami","1065.6666666666667",3
"Vig","1065.2857142857142",7
"Ryuichi Takada, Kakeru Ishihama, Keigo Hoashi, Hidekazu Tanaka, Akihiro Honda, Yoshino Aoki","1065",9
"Taro Bando, Hajime Wakai","1064.857142857143",14
"RF","1064.8",5
"kLuTz","1064.4",5
"Thunderclash","1064.3846153846155",13
"Toshio Kajino, Saori Maeda","1064",9
"Junko Tamiya","1063.695652173913",23
"Juke","1063.25",4
"munky","1063",2
"The Koopas","1063",3
"Eric Barker","1063",3
"Hermit","1063",2
"Tracy W. Bush, Derek Duke, Jason Hayes, Glenn Stafford","1063",3
"Eon_Blue","1063",4
"ZENTA","1063",5
"Chernabogue, Viking Guitar","1063",2
"Minako Adachi, Go Ichinose, Junichi Masuda, Tomoaki Oga","1063",3
"Naoto Kubo, Koji Kondo","1063",2
"Liquid Wind","1063",2
"Mark \"Blaz\" Soto","1063",2
"Koji Kondo, Shigeo Nukita","1063",3
"Hideya Nagata","1063",2
"Bobby Prince","1062.7142857142858",7
"Game Over","1062.5",4
"LSD, Shnabubula","1062.5",2
"Tee Lopes","1061.906976744186",43
"Palpable","1061.7",10
"David Wise, Grant Kirkhope","1061.6153846153845",13
"744","1061.375",8
"Hajime Wakai, Shibo Fujii, Mahito Yokota, Takeshi Hama, Koji Kondo","1061.2",5
"Koji Yamada, Yuko Ishii","1060.625",8
"noba","1060.5",4
"Super Guitar Bros.","1060.3090909090909",55
"The 8-Bit Big Band","1060.1935483870968",31
"+tek","1060.142857142857",7
"A Shell in the Pit","1060",6
"Satoshi Asano","1060",3
"Roboctopus","1060",3
"John Paul Hayward","1060",3
"MasterSwordRemix, MyNewSoundtrack","1060",3
"Masaaki Uno","1060",3
"Hy Bound","1059.6666666666667",3
"PirateCrab","1059.2857142857142",14
"Argle","1058.8333333333333",18
"Kartmaze","1058.7777777777778",9
"Smooth4Lyfe","1058.5",4
"Jack Wall, Sam Hulick","1058.5",2
"Alan Menken","1058.5",4
"Agent Whiskers","1058.5",2
"YET11","1058.5",12
"THE PRIMALS, Yoshino Nanjo","1058.5",2
"Tobikomi","1058.5",2
"Konrad Petersson","1058.5",2
"CHiCO, Tomori Kudo, Kenji Hiramatsu","1058.4705882352941",17
"DaMonz","1058.0714285714287",14
"Chris Lightfoot","1058",2
"Joshua Morse, posu yan","1057.5",2
"MC","1057.3333333333333",3
"Royal Stockholm Philharmonic Orchestra","1057",9
"Hirokazu Ando, Jun Ishikawa","1056.9333333333334",15
"Koji Kondo, Naoto Kubo, Asuka Hayazaki","1056.7142857142858",7
"Paul Hadame","1056.6666666666667",3
"Retro Remix Revue","1056.52",25
"The Good Ice","1056.5",6
"Gux","1056.2857142857142",7
"Toshiyuki Ueno","1056.25",4
"Terry Scott Taylor","1056",3
"Video Game Orchestra","1055.9166666666667",12
"Hirokazu Ando, Tadashi Ikegami","1055.9",10
"Sydney Symphony Orchestra","1055.75",4
"katethegreat19","1055.6875",16
"Masakazu Sugimori","1055.5172413793102",29
"Karsten Obarski","1055.5",2
"Jillian Aversa, zircon","1055.4",5
"Rare Candy","1055.037037037037",27
"Damjan Mravunac","1055",4
"tefnek, zircon","1055",3
"Nekofrog","1054.857142857143",7
"Kenji Hiramatsu","1054.8181818181818",11
"PolarBirds","1054.5",2
"Michiru Yamane","1054.183908045977",87
"Shinya Okada","1054",7
"Keiji Yamagishi, Mayuko Okamura, Hiroshi Miyazaki, Mitsuhito Tanaka","1054",5
"The Returners VGM","1054",8
"Decktonic","1054",2
"Chjolo","1054",2
"zachaction","1054",3
"Akiyuki Morimoto","1054",2
"Yasushi Asada","1054",3
"Koji Kondo, Toshiyuki Watanabe","1054",2
"Sir Spacebar","1054",2
"Mercury Adept","1054",3
"Homeslice","1054",2
"Julia Seeholzer","1054",2
"Akitaka Tohyama, Hideki Tobeta","1054",2
"scythe","1054",2
"Lazerwolph","1054",2
"Falcom Sound Team jdk, Toshiharu Okajima","1054",2
"Tyler Rydosz","1054",2
"Ben Emberley","1054",2
"Hajime Wakai","1053.923076923077",13
"Chris Chudley","1053.8",5
"Hiroki Isogai","1053.8",5
"Danimal Cannon","1053.5",26
"AkumajoBelmont","1053.375",8
"David Wise, Graeme Norgate","1053.3076923076924",13
"Kenji Yamamoto","1053.0740740740741",54
"Zbigniew Siatecki","1053",9
"Kenta Nagata, Atsuko Asahi, Yasuaki Iwata, Ryo Nagamatsu, Asuka Hayazaki, Toshiyuki Sudo, Daisuke Matsuoka, Tsukasa Usui, Haruko Torii, Takuhiro Honda, Yutaro Takakuwa, Kairi Hamada, Chisaki Hosaka, Sayako Doi, Reika Nakai","1052.9411764705883",17
"Scott Peeples","1052.8666666666666",15
"Gareth Coker","1052.8",15
"GUIDO","1052.7142857142858",7
"Chimpazilla","1052.6666666666667",18
"Sue Kasper","1052.6",5
"emon(Tes.)","1052.5",18
"Studio Thumpy Puppy","1052.5",6
"Kozo Nakamura, Yasuhiko Manno","1052.5",12
"Tsuyoshi Sekito, Yuko Kurahashi","1052.4285714285713",7
"Nobuo Uematsu","1052.3881118881118",286
"SwigglesRP","1052.2",5
"Yousuke Yasui","1052",19
"Daisuke Amaya (Pixel), Danny Baranowsky","1052",18
"Norichika Sato","1052",4
"Magnus \"SoulEye\" Pålsson","1051.8947368421052",19
"Yoko Shimomura, Takeharu Ishimoto, Tsuyoshi Sekito","1051.857142857143",7
"Shogo Sakai","1051.5483870967741",31
"Patrick Burns","1051.5",6
"Uboichi","1051",2
"Mohmega","1051",6
"Shinra Symphony Orchestra and Chorus, Shotaro Shima","1051",6
"Russell Brower, Derek Duke, Glenn Stafford","1051",6
"Yoshiaki Kashima","1051",3
"Mitsuo Singa","1051",3
"Taro Bando,Hajime Wakai","1050.8333333333333",6
"Dr. Manhattan","1050.6153846153845",13
"Naoki Kodaka","1050.4426229508197",61
"Masashi Kimura","1050.4",5
"Tezukake","1050.2",10
"Masayuki Nagao, Saori Kobayashi","1050.2",5
"James Landino","1050.142857142857",7
"Akitaka Tohyama","1050",9
"YUKIYOSHI","1049.5",2
"Max LL","1049.5",4
"koutaq","1049.5",2
"The 8-Bit Big Band, Grace Kelly","1049.5",2
"GrooveCube","1049.5",2
"Daisuke Endo","1049.5",2
"Jillian Aversa","1049.5",2
"waxingeloquent","1049.5",2
"Smilius Boticus Maximus","1049.5",2
"Naruto","1049.5",2
"The Cynic Project","1049.5",2
"missingNo.","1049.3846153846155",13
"Juhani Junkala","1049.2",15
"Tetrimino","1049.1666666666667",6
"Harumi Fujita","1049.1333333333334",15
"Tomozou Endo, Naofumi Hataya, Masafumi Ogata, Tomonori Sawada","1048.857142857143",7
"Jun Funahashi, Yukie Morimoto, Hidenori Maezawa","1048.6470588235295",17
"yam","1048.6",5
"Hiroshi Iuchi","1048.6",5
"Toshihiko Horiyama","1048.483870967742",31
"Hitomi Sato","1048.4",15
"Naoto Tanaka, Naoya Kamisaka, Takuya Miyawaki","1048.375",8
"tenChux","1048.2142857142858",14
"T4N3","1048.2142857142858",14
"Junko Shiratsu, Mariko Nanba","1048",6
"Takahiro Nakaguchi","1048",3
"Schroeder-Headz","1048",3
"Posu Yan","1048",3
"bLiNd","1047.7260273972602",73
"Tasogare Frontier,alphes","1047.6666666666667",3
"Keiichi Suzuki","1047.5714285714287",7
"Romain Gauthier","1047.5",4
"RebeccaETripp, Gamer of the Winds","1047",8
"Tomohiro Harada, COIL, Sadayoshi Okamoto, Yosuke Sato","1046.9",10
"Iku Mizutani, Motoaki Furukawa, Shigehiro Takenouchi","1046.8",5
"Masahiko Kimura, Motoaki Furukawa, Mariko Egawa","1046.8",5
"Anamanaguchi","1046.7058823529412",17
"Shiho Fujii","1046.5882352941176",17
"Diad","1046.5",6
"Tim Follin, Geoff Follin","1046.3",20
"Masanao Akahori","1046.2857142857142",7
"Mark Morgan","1046.2857142857142",7
"Ken Ito","1046.2857142857142",7
"Professor Sakamoto","1046.25",8
"Jewbei","1046",8
"Tony Dickinson (Prince uf Darkness)","1045.7142857142858",7
"chibi-tech","1045.6333333333334",30
"A_Rival","1045.5757575757575",33
"Minako Adachi, Junichi Masuda, Go Ichinose, Hiromitsu Maeba, Teruo Taniguchi, Hitomi Sato, Toby Fox","1045.5625",16
"III","1045.1846153846154",65
"norg","1045.142857142857",7
"Stephane Bellanger, Didier Lord","1045",11
"Shady Monk","1045",2
"Tomoya Ohtani, Yutaka Minobe","1045",2
"Hiroaki Sano","1045",3
"Thecoolestnerdguy","1045",3
"Neskvartetten","1045",2
"prophetik music, Fishy","1045",2
"mimiiQ","1045",3
"SEGA","1045",5
"PLBenjaminZ","1045",3
"Joel Everett","1045",2
"SuprMelO","1045",2
"黒天","1045",2
"BadMojo41","1045",2
"Traz Damji","1045",2
"Junya Matsuoka","1045",2
"Yendorami","1045",2
"moonove","1045",2
"Michiel Van Den Bos","1045",2
"hylianensemble","1045",2
"Bassoonify","1045",2
"Deniz Akbulut","1044.9285714285713",14
"Takeharu Ishimoto","1044.8918918918919",37
"Evil Horde","1044.888888888889",9
"Wintermute","1044.8333333333333",6
"Robin Beanland","1044.7142857142858",7
"Blen","1044.5",2
"Yoshitaka Suzuki,Yoko Shimomura","1044.5",2
"NKZ, ZUN","1044.5",2
"grooveman Spot","1044.5",2
"nokbient","1044.5",2
"Hirokazu Tanaka, Minako Hamano, Kentaro Nishimura","1044.3333333333333",3
"Tyler Heath","1044.2857142857142",7
"David Wise","1044.0144927536232",138
"Kirby's Dream Band","1043.6206896551723",29
"The World Is Square","1043.5333333333333",30
"Ryo Kawakami","1043.3333333333333",6
"Hajime Hirasawa","1043.2222222222222",9
"Ronin Op F","1043.2",5
"SnappleMan","1043.125",8
"fredrikd","1043",5
"Amok","1043",5
"Funk Fiction","1042.923076923077",13
"Hirohiko Takayama, Kenji Eno","1042.75",4
"Scoring Helsinki","1042.5",4
"New Japan Philharmonic Orchestra","1042.2307692307693",13
"Dylan Wiest","1042",6
"Thomas Kresge","1042",3
"Daisuke Ishiwatari, Koichi Seiyama","1041.4",15
"Nobuo Uematsu, Kanon","1041.4",5
"Jordan Chin","1041.4",5
"Yu Manabe","1041.4",5
"Ryo Yonemitsu","1041.4",5
"The OneUps","1041.3307086614172",127
"Yoko Shimomura, Isao Abe, Yoshihiro Sakaguchi","1041.2857142857142",7
"Masakatsu Maekawa","1041.2857142857142",14
"Trash80","1041.2",5
"Pure Sound Inc., Minako Adachi, Kyopi","1041.1",30
"Masaya Kuzume","1041",11
"Super Soul Bros.","1040.9756097560976",41
"Naoto Shibata","1040.8461538461538",13
"Asuka Ohta, Ryo Nagamatsu","1040.8",15
"Takashi Tateishi, Manami Matsumae, Yoshihiro Sakaguchi","1040.6666666666667",6
"MkVaff","1040.6142857142856",70
"Ralph Vickers (Rakohus)","1040.5555555555557",18
"aivi, surasshu","1040.5",18
"Kenneth Young, Brian D'Oliveira","1040.5",2
"Kenji Eno","1040.5",2
